year,A1,A2,A3
,label A1,label A2,label A3
1987,9,3496,74
1988,12,3819,81
1989,12,3360,95
1990,11,3555,98
1991,8,3284,84
1992,14,3753,80
1993,0,3496,40
1994,15,3511,106
1995,14,3311,79
1996,1,3571,15
1997,7,3512,61
1998,20,3266,107
1999,2,3482,29
2000,7,3381,85
2001,13,3411,78
2002,10,3746,85
2003,11,3490,81
2004,12,3490,84
2005,19,3530,118
2006,18,3281,127
2007,7,3473,59
2008,8,3672,75
2009,4,3428,44
2010,5,3176,49
2011,8,3748,90
2012,0,3832,13
2013,2,3924,21
2014,1,3046,22
2015,2,3401,23
2016,6,3532,65
2016
2017,3,3332,36
2018,16,3533,104
2019,8,3095,66
2020,2,3237,21
2021,2,3636,32
2022,10,3191,88
2023,10,3365,97
2024,15,2976,145
2025,16,3090,76
2026,20,3578,144
2027,4,3140,52
2028,6,2987,47
2029,7,3195,68
2030,3,3570,53
2031,1,3335,27
2032,15,3175,118
2033,22,3336,133
2034,0,3097,15
2035,6,3218,63
2036,13,3133,111
2037,1,2828,32
2038,6,3207,68
2039,29,3140,180
2040,9,3361,71
2041,5,3292,60
2042,5,3238,70
2043,4,3203,36
2044,9,3189,72
2045,20,2979,122
2046,15,3275,107
