year,A1,A2,A3
,label A1,label A2,label A3
1987,0,3936,3
1988,8,3997,65
1989,0,3850,6
1990,4,3884,28
1991,1,3762,31
1992,1,3780,16
1993,2,3726,27
1994,3,3973,33
1995,4,3613,25
1996,7,3507,71
1997,4,4021,48
1998,0,3424,28
1999,6,3637,68
2000,1,3971,16
2001,4,3548,23
2002,6,3429,36
2003,4,3480,40
2004,13,3568,78
2005,3,3591,36
2006,1,3822,9
2007,12,3952,69
2008,3,3716,31
2009,6,3738,41
2010,2,3480,23
2011,0,3708,10
2012,6,3816,44
2013,3,4052,24
2014,13,3889,68
2015,1,3783,9
2016,0,3774,10
2016
2017,6,3115,57
2018,11,2995,92
2019,13,3181,83
2020,8,3291,59
2021,0,3487,40
2022,7,3381,35
2023,9,3508,84
2024,6,3349,73
2025,5,3478,38
2026,6,3641,63
2027,3,3375,39
2028,16,3411,95
2029,12,3443,101
2030,16,3746,113
2031,6,3358,50
2032,10,3669,64
2033,10,3562,71
2034,15,3626,115
2035,5,3570,49
2036,7,3254,60
2037,3,3626,22
2038,5,3325,42
2039,6,3600,51
2040,5,3387,26
2041,3,3406,41
2042,6,3705,40
2043,12,3318,80
2044,4,3256,25
2045,2,3537,26
2046,12,3696,80
