year,A1,A2,A3
,label A1,label A2,label A3
1987,1,6197,9
1988,1,5979,18
1989,0,6136,1
1990,0,6451,1
1991,10,6561,65
1992,0,6035,4
1993,0,6179,4
1994,4,6212,50
1995,3,6334,15
1996,0,5782,8
1997,4,6288,32
1998,2,6330,24
1999,0,6334,2
2000,2,6229,15
2001,0,6098,4
2002,1,6355,8
2003,0,6057,3
2004,1,6474,22
2005,1,6084,14
2006,1,5861,18
2007,1,6322,8
2008,2,5965,26
2009,3,5996,25
2010,3,6059,23
2011,4,6289,21
2012,4,6441,32
2013,9,5927,48
2014,0,5827,8
2015,2,5909,20
2016,2,5964,22
2016
2017,1,5660,21
2018,1,5529,10
2019,4,5135,26
2020,4,5450,31
2021,0,5263,11
2022,0,5511,2
2023,3,5278,22
2024,1,5439,11
2025,0,5379,2
2026,1,6111,7
2027,0,5341,11
2028,1,5590,12
2029,8,5480,54
2030,0,5743,2
2031,0,5663,1
2032,3,5621,38
2033,3,5200,27
2034,1,5637,6
2035,0,5647,5
2036,1,5648,11
2037,0,5789,10
2038,1,5821,25
2039,4,5667,42
2040,2,5787,16
2041,3,5625,19
2042,4,5287,28
2043,5,5728,40
2044,1,5792,18
2045,0,5327,15
2046,0,5883,0
