year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-16.0,3.7,8.8,-6.7
1988,-12.3,4.1,11.8,-9.4
1989,-7.9,7.0,10.6,-6.4
1990,-9.9,4.8,10.2,-6.0
1991,-13.2,4.0,10.3,-4.2
1992,-8.0,3.4,9.6,-7.5
1993,-9.8,3.0,9.1,-7.3
1994,-12.1,4.3,9.7,-5.4
1995,-7.5,4.7,9.8,-9.8
1996,-10.1,2.7,10.7,-5.4
1997,-11.2,2.9,12.3,-6.7
1998,-14.4,2.7,10.7,-7.7
1999,-13.5,5.6,11.0,-5.6
2000,-9.9,5.6,11.5,-2.9
2001,-11.7,4.9,11.6,-7.4
2002,-10.8,7.1,11.5,-10.5
2003,-11.3,4.7,12.1,-5.4
2004,-10.2,4.7,11.9,-5.4
2005,-9.7,5.6,12.2,-2.9
2006,-12.9,6.7,11.7,-4.3
2007,-11.9,5.3,10.9,-1.8
2008,-9.7,4.3,9.6,-3.4
2009,-10.6,5.4,11.9,-5.8
2010,-14.5,6.4,11.3,-8.5
2011,-13.1,7.5,12.4,-1.2
2012,-11.6,4.4,10.7,-6.5
2013,-11.9,7.1,12.4,-4.8
2014,-7.9,4.8,13.0,-5.3
2015,-8.0,5.5,11.7,-3.9
2016,-9.9,6.9,12.4,-4.6
