year,A1,A2,A3
,label A1,label A2,label A3
1987,4,2854,46
1988,6,2802,54
1989,5,2876,47
1990,8,2714,55
1991,0,3062,15
1992,15,2745,98
1993,8,2855,69
1994,4,2851,52
1995,18,3007,122
1996,5,2908,40
1997,10,2899,80
1998,4,2828,36
1999,5,3075,52
2000,3,2515,54
2001,8,2857,57
2002,11,2814,68
2003,4,2954,41
2004,11,2808,72
2005,14,2877,79
2006,6,2833,39
2007,15,2944,116
2008,6,2853,50
2009,5,2704,47
2010,4,2837,40
2011,9,2934,50
2012,5,2760,46
2013,6,2974,64
2014,7,2898,71
2015,2,2664,35
2016,3,2987,30
2016
2017,6,2192,53
2018,6,2178,48
2019,17,2535,107
2020,6,2439,80
2021,1,2469,44
2022,6,2271,62
2023,8,2574,94
2024,10,2557,112
2025,24,2659,145
2026,12,2325,120
2027,11,2549,101
2028,14,2523,112
2029,15,2590,91
2030,3,2320,51
2031,12,2536,89
2032,22,2147,150
2033,11,2417,74
2034,11,2537,73
2035,20,2322,154
2036,13,2454,80
2037,12,2657,95
2038,16,2359,108
2039,6,2470,53
2040,14,2381,95
2041,11,2376,82
2042,21,2865,143
2043,16,2562,89
2044,16,2304,119
2045,22,2561,123
2046,8,2692,85
