year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,36,-121,-200,-10
1988,143,141,-205,-42
1989,56,-174,-251,-51
1990,-5,-134,-273,105
1991,39,-99,-204,45
1992,-25,58,-233,186
1993,-95,44,-40,118
1994,77,-37,-178,85
1995,88,-180,-213,50
1996,131,-126,-150,120
1997,6,-107,-54,101
1998,-20,-102,-177,62
1999,14,-137,-32,62
2000,-7,-85,-214,137
2001,65,-136,-153,-33
2002,-20,-51,-113,143
2003,82,-181,-264,109
2004,121,-139,-242,110
2005,-15,-199,-121,63
2006,47,-180,-113,7
2007,57,-44,-225,-6
2008,73,-55,-172,133
2009,51,-113,-246,96
2010,35,-60,-221,131
2011,15,-236,-195,30
2012,-35,-57,-255,91
2013,242,32,-270,104
2014,146,-127,-132,42
2015,79,-228,-207,-45
2016,144,-116,-274,-8
