year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,564,7,-48,9
1988,576,9,-59,0
1989,461,8,18,3
1990,578,8,-97,6
1991,534,7,-169,6
1992,546,8,11,9
1993,558,8,-253,5
1994,490,6,-166,8
1995,665,9,36,1
1996,561,9,-241,4
1997,731,8,-268,1
1998,575,8,-37,9
1999,693,10,-193,4
2000,635,10,-166,2
2001,671,9,-73,3
2002,694,8,21,4
2003,659,10,-103,4
2004,596,9,-47,12
2005,573,9,19,4
2006,736,9,-72,5
2007,651,9,-62,1
2008,531,8,-167,4
2009,760,8,-116,1
2010,572,7,45,11
2011,647,9,-131,7
2012,840,8,-98,2
2013,577,8,-41,4
2014,563,8,-104,1
2015,594,8,-115,1
2016,702,7,-25,1
2016
2017,818,10,-38,0
2018,841,9,-128,1
2019,825,9,-116,6
2020,789,9,-100,1
2021,853,10,-152,1
2022,704,8,-222,4
2023,715,10,-290,3
2024,767,9,-173,4
2025,927,12,65,0
2026,634,9,-131,5
2027,840,10,-185,3
2028,737,9,-76,0
2029,849,8,-216,1
2030,803,10,-212,2
2031,782,10,-21,0
2032,813,9,-16,1
2033,670,10,55,2
2034,743,9,-14,3
2035,708,9,-86,2
2036,687,9,-12,3
2037,640,9,-45,2
2038,748,10,22,3
2039,859,10,-134,1
2040,746,9,23,2
2041,754,10,-96,2
2042,870,9,-119,2
2043,787,10,-110,4
2044,852,9,-110,3
2045,778,9,60,6
2046,690,9,-35,3
