year,A1,A2,A3
,label A1,label A2,label A3
1987,86,2010,577
1988,60,2192,344
1989,78,2371,509
1990,56,2249,407
1991,48,2122,406
1992,80,2336,533
1993,69,2257,542
1994,60,2291,478
1995,72,2175,450
1996,58,2243,462
1997,62,2259,495
1998,80,2326,548
1999,72,2275,546
2000,60,2069,461
2001,71,2287,391
2002,54,2394,353
2003,79,2197,498
2004,78,2240,538
2005,72,2468,536
2006,84,2389,564
2007,75,2141,474
2008,95,2410,599
2009,55,2033,381
2010,96,2255,597
2011,75,2274,493
2012,80,2140,470
2013,71,2081,486
2014,73,2331,445
2015,91,2159,592
2016,80,2048,511
2016
2017,97,1865,649
2018,92,2111,706
2019,101,2024,705
2020,91,1978,561
2021,92,2055,679
2022,106,2025,631
2023,97,1915,688
2024,89,1956,671
2025,95,2005,632
2026,103,2038,744
2027,93,1790,759
2028,97,2054,629
2029,106,1938,738
2030,97,2095,663
2031,102,1797,729
2032,86,1975,592
2033,105,2136,661
2034,113,2194,779
2035,102,2080,682
2036,109,2075,796
2037,119,2057,913
2038,103,1906,714
2039,110,2069,739
2040,96,2033,781
2041,94,2204,556
2042,104,2044,717
2043,108,2078,749
2044,84,2018,563
2045,110,2024,831
2046,119,2214,770
