year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,606,6,27,13
1988,1097,11,-127,16
1989,800,11,47,27
1990,907,12,-30,11
1991,1089,7,-182,5
1992,663,6,-114,13
1993,693,8,-93,7
1994,955,10,-160,11
1995,798,9,140,16
1996,677,5,-161,7
1997,797,6,-105,9
1998,1000,9,-181,2
1999,866,10,86,18
2000,1079,7,-315,1
2001,876,9,135,9
2002,971,8,-182,7
2003,916,10,-95,12
2004,938,7,-280,15
2005,794,9,98,17
2006,809,8,70,7
2007,808,7,-40,4
2008,863,8,0,12
2009,911,11,54,4
2010,941,7,1,12
2011,927,8,-61,21
2012,979,10,-144,9
2013,758,6,-34,16
2014,838,9,-19,12
2015,737,8,-4,9
2016,660,7,-128,6
2016
2017,1196,10,-116,5
2018,1227,11,-202,8
2019,867,11,-122,22
2020,1300,8,-366,2
2021,1379,12,-376,5
2022,1183,11,-151,9
2023,1325,12,-372,6
2024,1091,13,-374,9
2025,1298,10,-297,14
2026,1145,11,-223,6
2027,1063,11,-106,15
2028,1447,13,-127,9
2029,930,10,-239,16
2030,1224,11,-381,5
2031,1227,10,84,3
2032,953,8,-203,17
2033,1318,11,-159,9
2034,1365,10,-100,4
2035,1127,11,123,5
2036,1196,9,-195,5
2037,1235,9,-246,2
2038,1249,11,-255,7
2039,925,8,17,20
2040,1206,9,-94,14
2041,983,13,-62,12
2042,1189,11,-74,14
2043,1155,9,-231,18
2044,976,10,-198,15
2045,1122,11,-174,13
2046,1159,11,91,5
