year,A1,A2,A3
,label A1,label A2,label A3
1987,8,3076,63
1988,6,3243,36
1989,2,3205,31
1990,6,3358,40
1991,6,3244,48
1992,0,3313,5
1993,0,3273,5
1994,4,3189,32
1995,3,3315,23
1996,1,3437,24
1997,4,3286,51
1998,6,3260,47
1999,1,3210,28
2000,2,3237,19
2001,0,2873,19
2002,5,3424,40
2003,2,3194,21
2004,0,3290,10
2005,6,3186,47
2006,3,3094,32
2007,1,3248,16
2008,3,3176,32
2009,2,3351,31
2010,4,3298,36
2011,9,3202,47
2012,0,3110,11
2013,6,3299,44
2014,3,3066,28
2015,3,3320,20
2016,13,3338,69
2016
2017,4,3058,49
2018,4,2928,56
2019,2,2804,45
2020,7,2667,63
2021,1,2804,11
2022,8,2959,61
2023,5,2983,52
2024,3,3005,34
2025,2,2622,20
2026,3,2969,37
2027,0,2839,48
2028,3,3015,48
2029,3,2917,38
2030,6,2810,44
2031,6,3006,38
2032,6,2723,31
2033,10,3004,62
2034,2,2758,32
2035,7,3021,53
2036,4,3017,43
2037,19,2983,97
2038,5,2718,43
2039,3,3119,42
2040,3,2836,42
2041,4,2962,31
2042,1,3020,22
2043,3,2998,32
2044,7,3080,58
2045,4,2839,37
2046,8,2790,57
