year,A1,A2,A3
,label A1,label A2,label A3
1987,84,1705,694
1988,75,1872,601
1989,78,2008,603
1990,82,1917,676
1991,75,1842,668
1992,63,1831,455
1993,79,1943,574
1994,39,1785,484
1995,66,1767,574
1996,79,1770,594
1997,64,1870,537
1998,60,1954,508
1999,75,1815,632
2000,67,1840,587
2001,79,2032,572
2002,70,1984,558
2003,78,2080,617
2004,66,2002,571
2005,76,1800,659
2006,69,2025,555
2007,91,1981,700
2008,82,1923,629
2009,64,1957,536
2010,71,1898,574
2011,67,1947,489
2012,73,1909,566
2013,65,2024,507
2014,62,1773,570
2015,99,1878,739
2016,80,1753,572
2016
2017,113,1620,899
2018,93,1821,762
2019,111,1987,852
2020,100,1846,783
2021,90,1895,831
2022,113,1682,874
2023,95,1676,762
2024,71,1621,628
2025,89,1668,768
2026,94,1678,826
2027,96,1726,850
2028,92,1546,720
2029,125,1788,1019
2030,90,1916,709
2031,87,1796,762
2032,95,1664,775
2033,94,1783,856
2034,101,1669,859
2035,84,1663,692
2036,90,1706,818
2037,118,1575,948
2038,121,1651,989
2039,108,1895,851
2040,80,1620,565
2041,91,1835,873
2042,128,1533,913
2043,85,1764,709
2044,108,1512,992
2045,82,1793,709
2046,86,2109,719
