year,A1,A2,A3
,label A1,label A2,label A3
1987,7,3062,61
1988,13,2697,71
1989,2,2941,34
1990,3,2744,42
1991,3,2970,45
1992,6,2857,72
1993,4,2943,57
1994,0,2787,34
1995,8,2931,58
1996,16,2825,150
1997,11,2870,94
1998,11,2643,114
1999,4,2744,52
2000,18,2627,131
2001,2,2917,19
2002,6,2987,58
2003,13,2885,105
2004,1,2892,30
2005,3,2553,30
2006,2,3060,28
2007,5,2846,45
2008,3,2995,23
2009,8,3035,52
2010,10,2766,87
2011,22,2941,133
2012,8,2817,63
2013,9,3251,77
2014,15,2887,96
2015,1,2704,13
2016,4,2902,35
2016
2017,18,2589,114
2018,13,2808,120
2019,25,2484,156
2020,18,2523,118
2021,12,2721,116
2022,24,2989,173
2023,8,2485,84
2024,6,2704,96
2025,10,2656,96
2026,5,2469,40
2027,12,2593,122
2028,4,2586,40
2029,7,2464,68
2030,14,2430,126
2031,6,2523,68
2032,18,2516,141
2033,12,2620,87
2034,9,2836,53
2035,10,2552,92
2036,14,2712,95
2037,16,2531,140
2038,12,2531,121
2039,5,2747,63
2040,10,2604,87
2041,15,2618,105
2042,21,2597,160
2043,14,2655,100
2044,23,2585,132
2045,11,2453,88
2046,10,2650,95
