year,A1,A2,A3
,label A1,label A2,label A3
1987,2,3472,28
1988,0,3667,9
1989,1,3568,20
1990,6,3396,58
1991,3,3620,39
1992,1,3645,11
1993,0,3521,4
1994,7,3436,60
1995,9,3485,54
1996,6,3268,56
1997,2,3333,37
1998,2,3443,21
1999,3,3656,44
2000,4,3644,30
2001,2,3574,24
2002,4,3330,23
2003,3,3309,24
2004,0,3437,8
2005,0,3458,11
2006,2,3262,33
2007,6,3516,41
2008,0,3285,14
2009,5,3644,38
2010,4,3265,40
2011,2,3653,21
2012,1,3501,15
2013,2,3382,22
2014,1,3696,18
2015,10,3287,70
2016,3,3293,33
2016
2017,2,3180,53
2018,4,3099,33
2019,2,3278,30
2020,8,3301,78
2021,0,3130,20
2022,2,3351,25
2023,2,3174,42
2024,1,3107,27
2025,0,3055,8
2026,4,3169,49
2027,8,3058,86
2028,4,3132,35
2029,1,3326,26
2030,8,3041,79
2031,5,3207,44
2032,12,3178,76
2033,2,3315,38
2034,7,3243,69
2035,10,3257,66
2036,3,3159,44
2037,9,3130,54
2038,5,3069,45
2039,1,3050,26
2040,4,3249,50
2041,6,3346,56
2042,7,3055,60
2043,10,2964,59
2044,5,3200,69
2045,6,3367,45
2046,2,2984,27
