year,A1,A2,A3
,label A1,label A2,label A3
1987,51,1541,392
1988,74,1692,581
1989,60,1753,417
1990,98,1694,687
1991,70,1872,550
1992,80,1724,481
1993,50,1679,402
1994,70,1774,559
1995,96,1734,652
1996,75,1571,545
1997,57,1753,501
1998,74,1725,507
1999,51,1744,367
2000,58,1564,525
2001,61,1686,407
2002,74,1800,553
2003,61,1785,444
2004,74,1711,546
2005,60,1782,439
2006,71,1683,517
2007,71,1692,498
2008,77,1787,542
2009,71,1809,513
2010,88,1797,620
2011,67,1845,498
2012,79,1711,527
2013,83,1767,582
2014,65,1932,443
2015,79,1504,533
2016,65,1799,559
2016
2017,98,1487,749
2018,106,1417,796
2019,98,1625,700
2020,93,1556,649
2021,89,1308,684
2022,94,1636,660
2023,85,1492,650
2024,94,1468,778
2025,101,1540,767
2026,79,1497,657
2027,88,1618,658
2028,82,1585,577
2029,90,1521,695
2030,83,1552,686
2031,83,1575,583
2032,82,1469,594
2033,87,1363,642
2034,82,1399,601
2035,86,1619,602
2036,98,1629,761
2037,88,1333,701
2038,101,1586,648
2039,84,1408,595
2040,109,1461,847
2041,99,1518,669
2042,90,1511,646
2043,108,1672,742
2044,112,1624,870
2045,97,1688,673
2046,108,1507,757
