year,A1,A2,A3
,label A1,label A2,label A3
1987,65,1904,531
1988,68,1546,531
1989,66,1715,502
1990,72,1780,482
1991,61,1743,493
1992,71,1655,503
1993,67,1864,500
1994,58,1838,459
1995,55,1844,372
1996,59,1716,414
1997,64,1850,498
1998,57,2220,393
1999,64,1901,510
2000,47,1842,391
2001,62,1680,460
2002,62,1784,455
2003,49,1789,362
2004,79,1934,574
2005,68,1783,462
2006,50,1947,401
2007,62,1950,490
2008,58,1834,420
2009,51,1749,384
2010,63,1693,509
2011,56,1867,421
2012,45,1949,394
2013,61,1966,447
2014,58,1887,433
2015,71,1904,473
2016,59,1814,450
2016
2017,120,1694,871
2018,91,1426,711
2019,90,1595,621
2020,90,1555,683
2021,73,1561,616
2022,98,1672,763
2023,93,1569,710
2024,80,1807,613
2025,91,1496,689
2026,85,1635,633
2027,83,1500,619
2028,85,1668,567
2029,81,1683,647
2030,77,1599,676
2031,85,1464,575
2032,85,1688,717
2033,84,1641,605
2034,86,1429,649
2035,119,1625,864
2036,81,1667,585
2037,113,1557,797
2038,82,1559,610
2039,100,1609,752
2040,93,1479,740
2041,90,1751,636
2042,115,1452,806
2043,100,1740,739
2044,90,1203,624
2045,71,1343,544
2046,90,1772,700
