year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1657,12,-192,1
1988,1691,10,-419,0
1989,1501,10,-391,0
1990,1601,10,-391,6
1991,1368,10,-471,9
1992,1620,12,-270,3
1993,1583,11,-457,3
1994,1728,11,-506,2
1995,1668,11,-387,5
1996,1603,9,-440,0
1997,1620,12,-534,2
1998,1565,9,-375,1
1999,1705,12,-529,12
2000,1527,10,-440,1
2001,1610,10,-363,4
2002,1440,11,-291,1
2003,1640,12,-424,0
2004,1615,11,-323,3
2005,1450,11,-150,2
2006,1553,11,-302,0
2007,1586,12,-270,3
2008,1688,13,-369,3
2009,1685,11,-413,1
2010,1663,11,-349,1
2011,1651,12,-375,0
2012,1591,11,-386,2
2013,1488,11,-281,1
2014,1814,11,-366,0
2015,1899,12,-355,1
2016,1623,10,-353,0
2016
2017,2045,13,-467,1
2018,2058,11,-456,0
2019,1958,13,-471,0
2020,1853,13,-305,3
2021,1647,10,-472,0
2022,1762,11,-425,1
2023,1781,12,-538,0
2024,2076,14,-522,2
2025,1993,12,-469,0
2026,1931,12,-582,2
2027,1769,11,-571,4
2028,1883,12,-384,1
2029,1969,13,-582,0
2030,1772,14,-500,0
2031,1822,14,-323,0
2032,1720,11,-447,4
2033,1716,12,-373,0
2034,1889,11,-521,0
2035,1881,12,-444,3
2036,1711,11,-351,1
2037,1873,13,-355,0
2038,2000,13,-424,1
2039,1792,13,-439,4
2040,1985,13,-437,2
2041,1964,11,-484,0
2042,2060,12,-396,0
2043,1891,14,-434,0
2044,1868,11,-427,2
2045,1865,11,-361,1
2046,2138,13,-511,0
