year,A1,A2,A3
,label A1,label A2,label A3
1987,0,4912,2
1988,1,4682,7
1989,0,4732,0
1990,0,4425,6
1991,0,4905,0
1992,2,4675,22
1993,0,5149,4
1994,0,4889,4
1995,0,5159,0
1996,0,4744,7
1997,0,4771,4
1998,1,4642,5
1999,0,4590,4
2000,0,4772,2
2001,3,4708,19
2002,2,5409,18
2003,1,4694,7
2004,0,4966,8
2005,0,4591,0
2006,0,5003,6
2007,1,5135,5
2008,1,5002,6
2009,3,4971,12
2010,1,4632,16
2011,0,5108,3
2012,0,4815,0
2013,4,4779,18
2014,1,5048,10
2015,3,4937,22
2016,0,4803,3
2016
2017,2,4546,18
2018,2,4629,30
2019,0,4431,3
2020,0,4217,2
2021,0,4366,3
2022,0,4225,1
2023,0,4300,1
2024,0,4159,7
2025,1,4180,8
2026,0,4263,18
2027,0,4599,9
2028,6,4420,32
2029,0,4230,2
2030,0,4376,17
2031,0,4608,1
2032,0,4369,10
2033,0,4626,2
2034,0,4603,6
2035,0,4657,2
2036,0,4309,8
2037,2,4439,20
2038,0,4481,6
2039,1,4708,5
2040,4,4265,23
2041,0,4531,2
2042,4,4655,26
2043,0,4330,12
2044,0,4392,4
2045,0,4306,3
2046,1,4148,6
