year,A1,A2,A3
,label A1,label A2,label A3
1987,9,4127,89
1988,15,3645,105
1989,12,4096,88
1990,2,4005,46
1991,8,3927,70
1992,13,4054,94
1993,0,4346,24
1994,7,4010,104
1995,6,3693,70
1996,11,3757,104
1997,1,4212,26
1998,5,3911,50
1999,7,3872,90
2000,3,3861,44
2001,20,4141,129
2002,7,4249,74
2003,14,3989,90
2004,11,3950,85
2005,8,3783,77
2006,15,4135,106
2007,5,4036,65
2008,8,4220,62
2009,1,4185,28
2010,5,4020,62
2011,9,3691,89
2012,10,3718,71
2013,21,4271,162
2014,10,3915,81
2015,11,3985,86
2016,0,4086,13
2016
2017,9,3399,79
2018,13,3685,89
2019,7,3444,65
2020,8,3806,80
2021,13,3571,105
2022,9,3750,70
2023,9,3614,55
2024,12,3450,117
2025,17,3641,100
2026,3,3938,59
2027,16,3435,120
2028,12,3670,90
2029,19,3443,173
2030,4,3867,77
2031,7,3162,54
2032,21,3475,150
2033,27,3957,153
2034,18,3522,149
2035,7,3445,58
2036,13,3422,85
2037,23,3414,151
2038,16,3681,98
2039,6,3496,48
2040,14,3784,112
2041,25,3631,182
2042,8,3316,71
2043,16,3876,140
2044,14,3628,102
2045,21,3701,149
2046,20,3437,127
