year,A1,A2,A3
,label A1,label A2,label A3
1987,3,3109,24
1988,3,2729,18
1989,2,2872,22
1990,0,2816,10
1991,4,2611,47
1992,16,2758,92
1993,2,3018,47
1994,0,2544,23
1995,24,2908,136
1996,7,2851,56
1997,1,2813,27
1998,4,2642,47
1999,3,3156,42
2000,6,2712,76
2001,7,3032,48
2002,1,3075,18
2003,4,2603,34
2004,5,2782,39
2005,0,2726,24
2006,0,2659,12
2007,0,2838,9
2008,4,3010,36
2009,0,2792,13
2010,0,2756,9
2011,1,2669,25
2012,2,2848,36
2013,9,2814,49
2014,4,3169,31
2015,1,2861,23
2016,5,2762,46
2016
2017,11,2461,82
2018,0,2475,30
2019,1,2438,24
2020,9,2686,63
2021,6,2349,56
2022,18,2118,112
2023,3,2602,71
2024,3,2520,52
2025,13,2273,87
2026,0,2373,38
2027,0,2230,16
2028,4,2375,41
2029,2,2430,45
2030,4,2412,52
2031,8,2379,73
2032,2,2532,25
2033,13,2600,90
2034,0,2599,26
2035,2,2578,31
2036,2,2495,47
2037,1,2360,40
2038,12,2379,88
2039,13,2367,103
2040,8,2599,64
2041,2,2417,24
2042,21,2469,139
2043,4,2187,58
2044,0,2640,19
2045,16,2235,117
2046,9,2343,79
