year,A1,A2,A3
,label A1,label A2,label A3
1987,19,3344,137
1988,11,3501,87
1989,9,3517,66
1990,6,3406,63
1991,10,3542,100
1992,6,3568,47
1993,17,3565,126
1994,5,3783,64
1995,7,3462,46
1996,11,3516,109
1997,27,3612,178
1998,0,3475,17
1999,10,3778,83
2000,25,3570,171
2001,7,3694,58
2002,0,3494,12
2003,5,3724,54
2004,23,3188,144
2005,1,3396,25
2006,13,3255,94
2007,5,3715,68
2008,13,3553,123
2009,14,3382,107
2010,5,3614,66
2011,3,3563,29
2012,7,3449,69
2013,17,3636,126
2014,5,3482,50
2015,10,3360,87
2016,8,3395,61
2016
2017,19,3011,135
2018,9,3360,85
2019,11,2989,96
2020,21,3014,151
2021,13,3289,113
2022,34,2936,203
2023,21,3304,167
2024,7,2945,67
2025,9,3273,63
2026,12,3042,102
2027,23,2937,177
2028,25,3246,167
2029,9,3231,87
2030,10,2957,102
2031,10,3364,102
2032,23,3499,143
2033,7,3022,69
2034,19,3011,150
2035,28,3120,206
2036,31,3425,191
2037,31,3054,201
2038,16,3271,141
2039,12,3051,80
2040,15,3158,131
2041,15,3135,98
2042,12,2959,75
2043,15,3110,120
2044,15,3051,100
2045,9,3017,92
2046,14,2979,100
