year,A1,A2,A3
,label A1,label A2,label A3
1987,0,2748,6
1988,3,2679,17
1989,0,2686,2
1990,3,2587,17
1991,1,2677,14
1992,0,2721,4
1993,1,2701,7
1994,0,2724,4
1995,0,2773,0
1996,1,2699,16
1997,1,2651,12
1998,0,2759,2
1999,0,2692,5
2000,0,2729,16
2001,0,2627,0
2002,0,2479,1
2003,0,2709,2
2004,0,2659,2
2005,0,2756,10
2006,0,2710,3
2007,0,2650,7
2008,0,2710,0
2009,0,2650,2
2010,0,2571,1
2011,0,2401,3
2012,2,2581,13
2013,0,2600,4
2014,0,2670,3
2015,2,2644,7
2016,1,2581,4
2016
2017,1,2504,7
2018,0,2484,3
2019,0,2354,3
2020,0,2427,2
2021,1,2371,8
2022,0,2618,5
2023,1,2525,9
2024,0,2349,15
2025,0,2325,7
2026,0,2449,6
2027,0,2519,4
2028,2,2418,15
2029,0,2375,21
2030,1,2380,10
2031,0,2416,2
2032,0,2434,5
2033,1,2435,6
2034,0,2358,1
2035,3,2365,22
2036,0,2404,1
2037,1,2560,16
2038,0,2549,4
2039,3,2379,15
2040,0,2425,11
2041,0,2403,9
2042,0,2337,6
2043,0,2538,9
2044,0,2504,6
2045,0,2505,5
2046,1,2389,5
