year,A1,A2,A3
,label A1,label A2,label A3
1987,0,2324,25
1988,5,2338,46
1989,8,2455,52
1990,1,2435,17
1991,1,2400,27
1992,9,2489,51
1993,5,2065,71
1994,8,2188,91
1995,14,2359,94
1996,1,2465,23
1997,2,2413,50
1998,3,2409,47
1999,9,2118,75
2000,4,2214,50
2001,1,2311,38
2002,4,2318,50
2003,12,2380,82
2004,4,2504,53
2005,5,2523,42
2006,6,2371,47
2007,11,2357,77
2008,5,2344,47
2009,4,2294,38
2010,4,2395,63
2011,1,2362,38
2012,0,2369,28
2013,3,2245,25
2014,6,2453,56
2015,5,2268,51
2016,2,2347,45
2016
2017,5,2028,64
2018,14,2206,87
2019,11,2111,108
2020,8,2063,89
2021,9,2274,107
2022,24,2198,147
2023,7,2030,98
2024,6,2219,64
2025,7,2188,81
2026,5,2115,78
2027,17,2141,126
2028,27,2116,171
2029,12,2026,119
2030,2,2061,58
2031,6,2031,63
2032,3,2014,74
2033,6,2160,86
2034,5,2029,50
2035,13,2106,99
2036,16,2142,114
2037,17,2171,114
2038,15,2212,101
2039,2,1955,45
2040,12,2056,81
2041,13,2241,109
2042,8,2089,84
2043,14,2041,88
2044,4,2080,83
2045,13,2275,128
2046,7,2052,74
