year,A1,A2,A3
,label A1,label A2,label A3
1987,11,4743,99
1988,6,4251,61
1989,4,4516,55
1990,9,4601,57
1991,15,4092,116
1992,7,4677,39
1993,16,4605,113
1994,8,4587,69
1995,9,4804,59
1996,2,4984,36
1997,1,4612,27
1998,3,4341,36
1999,2,4555,37
2000,1,4723,22
2001,2,4444,46
2002,7,4567,62
2003,0,4609,20
2004,5,4751,41
2005,6,4420,55
2006,4,4037,54
2007,15,4066,80
2008,11,4618,90
2009,6,4531,45
2010,19,4549,121
2011,8,4389,67
2012,0,4791,27
2013,6,4613,50
2014,2,4426,34
2015,1,4749,26
2016,5,4275,45
2016
2017,4,4010,36
2018,13,4161,108
2019,14,4383,83
2020,1,3958,23
2021,0,4371,19
2022,10,3880,88
2023,22,4228,185
2024,2,3975,38
2025,3,4056,18
2026,11,4029,88
2027,5,4430,71
2028,10,3920,66
2029,5,4091,54
2030,4,3852,40
2031,12,3687,90
2032,2,4204,42
2033,16,4005,114
2034,9,3914,89
2035,7,3778,69
2036,4,4081,36
2037,4,4000,41
2038,10,3785,130
2039,5,3966,47
2040,5,4024,47
2041,0,4110,11
2042,11,3735,88
2043,9,4072,72
2044,8,4120,63
2045,7,4083,52
2046,3,4204,34
