year,V1,V2,V3,V9
,label V1-EMU,label V2-EMU,label V3,label V9-EMU
1987,386,2,-46,15
1988,685,4,-153,10
1989,649,5,-137,7
1990,412,5,-111,11
1991,627,5,-181,4
1992,634,4,-125,9
1993,767,4,-322,7
1994,371,4,-227,7
1995,776,5,-48,2
1996,707,5,-264,12
1997,422,6,-202,11
1998,477,6,-87,10
1999,568,5,-207,8
2000,594,2,-294,15
2001,692,1,-180,12
2002,622,6,-121,11
2003,640,3,-144,4
2004,505,6,-114,15
2005,467,4,-102,8
2006,589,5,-155,8
2007,609,6,-178,8
2008,457,6,-147,21
2009,540,5,-64,9
2010,596,6,-156,7
2011,611,5,-190,13
2012,541,5,-131,13
2013,555,7,-179,9
2014,502,4,-154,8
2015,530,6,-48,13
2016,730,8,-115,13
2016
2017,564,3,-29,9
2018,545,6,-105,2
2019,725,7,19,8
2020,906,6,-91,8
2021,739,4,-135,3
2022,730,7,-49,4
2023,866,8,-356,8
2024,702,6,-168,2
2025,720,6,-52,5
2026,764,6,-278,8
2027,988,7,-191,0
2028,775,7,-179,6
2029,584,3,-129,12
2030,802,4,-195,3
2031,787,5,-169,3
2032,806,7,-127,5
2033,805,6,-232,13
2034,1081,6,-27,1
2035,816,7,-110,2
2036,742,5,-158,9
2037,737,4,-81,6
2038,824,5,-159,4
2039,1033,9,-120,7
2040,736,6,-210,6
2041,524,4,-88,14
2042,725,6,-98,3
2043,807,10,-191,1
2044,815,5,-47,3
2045,668,5,-159,4
2046,789,5,-107,0
