year,A1,A2,A3
,label A1,label A2,label A3
1987,4,3343,38
1988,3,3073,44
1989,12,3286,79
1990,2,3027,41
1991,3,3353,68
1992,5,3272,47
1993,1,3443,35
1994,4,3136,56
1995,0,3219,14
1996,0,3157,14
1997,2,3181,46
1998,0,3195,13
1999,0,3332,21
2000,0,3045,15
2001,4,3006,28
2002,10,3092,61
2003,4,3006,41
2004,14,3169,82
2005,2,3054,34
2006,1,2920,31
2007,3,3352,45
2008,4,3108,25
2009,7,3166,45
2010,3,3387,31
2011,3,3230,42
2012,8,3022,47
2013,0,3256,12
2014,3,3360,42
2015,0,3235,11
2016,2,3073,26
2016
2017,2,2684,46
2018,9,2808,70
2019,9,2789,79
2020,6,2736,74
2021,1,2962,43
2022,17,3020,110
2023,0,2792,30
2024,2,2929,42
2025,12,2853,82
2026,11,2805,98
2027,0,2929,44
2028,5,2832,35
2029,3,2730,60
2030,6,2885,71
2031,2,2877,29
2032,3,2969,61
2033,11,2854,80
2034,3,3104,36
2035,9,2719,70
2036,7,2797,55
2037,5,2855,53
2038,7,2692,60
2039,12,2902,88
2040,13,2738,98
2041,4,2817,31
2042,11,3007,83
2043,14,2820,95
2044,9,2901,71
2045,4,2741,50
2046,5,2911,57
