year,A1,A2,A3
,label A1,label A2,label A3
1987,0,5422,0
1988,2,6059,24
1989,0,5312,9
1990,1,5931,22
1991,2,5692,20
1992,2,5658,9
1993,3,5701,29
1994,5,5552,28
1995,2,5635,14
1996,2,6225,18
1997,1,5689,18
1998,5,5661,43
1999,7,6071,43
2000,5,5612,35
2001,0,5826,4
2002,0,5680,23
2003,9,6145,63
2004,5,5608,31
2005,6,5678,39
2006,11,5691,73
2007,5,5104,30
2008,0,5962,21
2009,15,5781,108
2010,8,5887,49
2011,8,5984,48
2012,6,5945,46
2013,8,5534,65
2014,10,6015,62
2015,7,5603,46
2016,8,5946,49
2016
2017,1,5315,11
2018,0,5079,6
2019,4,5353,49
2020,2,5654,27
2021,5,5218,45
2022,1,5351,14
2023,1,5423,20
2024,8,5427,59
2025,3,5062,50
2026,0,4909,10
2027,8,5100,75
2028,1,5498,13
2029,11,5211,64
2030,13,5208,75
2031,3,4923,32
2032,7,4997,49
2033,1,5253,14
2034,4,5136,40
2035,1,5459,16
2036,6,5215,40
2037,2,5136,22
2038,9,5336,53
2039,5,5390,41
2040,4,4898,26
2041,6,4922,45
2042,7,4907,57
2043,8,4934,56
2044,7,5154,39
2045,18,4964,118
2046,2,5320,26
