year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,129,147,150,138
1988,263,322,137,61
1989,179,181,146,102
1990,176,162,91,256
1991,115,179,186,163
1992,85,364,135,270
1993,30,227,224,262
1994,164,238,120,197
1995,230,114,238,205
1996,177,127,200,212
1997,75,242,197,204
1998,96,239,226,196
1999,140,220,284,190
2000,111,199,89,286
2001,199,204,173,78
2002,90,228,122,202
2003,152,149,167,205
2004,244,188,118,157
2005,62,148,150,144
2006,166,98,217,98
2007,163,268,128,94
2008,168,228,123,215
2009,131,281,52,228
2010,139,223,108,160
2011,122,99,113,102
2012,58,247,94,184
2013,302,207,140,203
2014,241,126,134,96
2015,144,159,152,104
2016,266,191,75,106
