year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,34,-156,-183,42
1988,156,53,-196,-49
1989,54,-159,-251,-32
1990,46,-137,-295,170
1991,14,-109,-183,85
1992,-22,65,-222,189
1993,-94,-81,-102,170
1994,50,-80,-237,100
1995,112,-225,-128,82
1996,48,-216,-128,122
1997,-52,-101,-150,99
1998,-38,-90,-147,113
1999,26,-98,-81,94
2000,-10,-138,-284,179
2001,82,-114,-167,-26
2002,-35,-81,-195,102
2003,25,-210,-252,105
2004,137,-151,-252,63
2005,-57,-211,-227,42
2006,56,-269,-169,-7
2007,55,-36,-223,0
2008,52,-79,-220,124
2009,12,-36,-326,134
2010,26,-94,-261,63
2011,10,-275,-251,-14
2012,-63,-71,-294,81
2013,200,-84,-236,118
2014,128,-222,-207,-7
2015,45,-207,-227,15
2016,156,-129,-311,23
