year,V1,V2,V3,V9
,label V1-EMU,label V2-EMU,label V3,label V9-EMU
1987,539,7,-224,7
1988,613,5,-161,4
1989,804,6,-147,9
1990,668,8,-124,17
1991,824,6,-274,4
1992,649,6,-178,8
1993,651,5,-278,9
1994,568,6,-261,8
1995,657,6,-53,5
1996,586,6,-270,8
1997,604,6,-208,19
1998,604,8,-112,16
1999,834,7,-194,13
2000,684,4,-155,0
2001,845,8,-237,7
2002,545,6,-166,7
2003,565,6,-226,7
2004,832,9,-210,3
2005,492,5,-132,2
2006,651,8,-103,10
2007,1012,4,-233,0
2008,738,6,-131,7
2009,559,6,-43,9
2010,762,6,-170,1
2011,677,5,-10,7
2012,635,4,-164,4
2013,679,6,-171,3
2014,748,7,-97,7
2015,648,8,-115,14
2016,591,6,-185,14
2016
2017,728,9,-179,8
2018,811,6,-152,0
2019,702,7,-70,8
2020,656,8,-90,7
2021,803,8,-298,0
2022,995,7,-78,1
2023,1111,10,-366,0
2024,1090,8,-261,0
2025,840,7,-165,5
2026,998,7,-163,4
2027,753,7,-128,5
2028,679,5,-52,5
2029,888,7,-284,0
2030,941,4,-217,0
2031,667,5,-118,5
2032,807,9,-152,0
2033,897,10,-223,1
2034,812,9,-166,0
2035,949,9,-169,3
2036,705,8,-119,2
2037,1045,10,-185,3
2038,822,8,-135,1
2039,905,9,-46,1
2040,733,8,-100,1
2041,813,8,-91,1
2042,865,10,-115,1
2043,814,7,-21,7
2044,847,9,-9,0
2045,693,4,-90,4
2046,913,6,-156,4
