year,A1,A2,A3
,label A1,label A2,label A3
1987,0,3122,0
1988,4,3236,38
1989,0,3080,7
1990,2,3107,36
1991,0,3202,24
1992,5,3344,26
1993,2,2883,33
1994,0,3013,27
1995,3,3061,35
1996,0,3217,25
1997,1,3176,28
1998,3,3304,45
1999,5,3344,42
2000,9,3137,81
2001,6,2877,36
2002,0,2996,15
2003,6,3197,45
2004,0,3216,19
2005,0,3235,6
2006,1,3112,26
2007,2,3110,27
2008,2,2924,26
2009,4,3077,30
2010,5,3132,52
2011,7,3115,45
2012,5,3199,32
2013,3,3226,31
2014,6,2996,50
2015,2,3067,36
2016,1,2927,18
2016
2017,0,2931,12
2018,8,3080,74
2019,13,2651,96
2020,15,2726,96
2021,4,2931,49
2022,7,2677,53
2023,2,2830,28
2024,6,2720,68
2025,4,2800,38
2026,2,2683,31
2027,2,2668,34
2028,5,2463,63
2029,6,2678,77
2030,8,2611,96
2031,2,2914,33
2032,3,2900,24
2033,7,2574,55
2034,7,2637,58
2035,2,2611,42
2036,2,2923,32
2037,5,2707,64
2038,16,2785,96
2039,10,2646,83
2040,1,2888,19
2041,8,2907,67
2042,0,2665,9
2043,14,2766,100
2044,9,2912,65
2045,6,2650,65
2046,9,2572,65
