year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1576,12,-592,5
1988,1508,9,-558,5
1989,1668,10,-525,5
1990,1696,10,-566,0
1991,1391,10,-515,7
1992,1634,10,-502,1
1993,1640,10,-478,5
1994,1565,11,-621,6
1995,1730,10,-542,2
1996,1521,9,-464,2
1997,1612,12,-639,2
1998,1358,9,-399,8
1999,1489,9,-630,0
2000,1417,8,-431,5
2001,1534,9,-458,4
2002,1479,9,-501,1
2003,1651,10,-481,3
2004,1538,9,-474,2
2005,1717,10,-481,3
2006,1537,10,-561,6
2007,1421,9,-506,4
2008,1521,10,-506,6
2009,1536,9,-458,0
2010,1653,10,-526,2
2011,1552,10,-618,1
2012,1444,10,-397,3
2013,1482,9,-436,5
2014,1580,9,-454,4
2015,1455,9,-445,6
2016,1405,11,-446,8
2016
2017,1701,11,-430,5
2018,1776,11,-519,2
2019,1823,12,-547,5
2020,1931,11,-574,1
2021,1730,10,-636,8
2022,1829,11,-557,4
2023,2046,12,-703,3
2024,1811,12,-612,1
2025,1664,10,-405,3
2026,1816,12,-570,3
2027,1816,12,-550,1
2028,1924,12,-608,0
2029,2109,14,-771,6
2030,1682,12,-497,2
2031,1740,13,-520,1
2032,1680,10,-418,1
2033,1781,12,-570,6
2034,1715,10,-352,5
2035,1782,13,-497,3
2036,2025,14,-563,5
2037,1845,11,-489,2
2038,1868,11,-493,1
2039,1839,12,-543,3
2040,2088,13,-613,0
2041,1945,11,-587,0
2042,1636,12,-481,5
2043,1721,12,-536,3
2044,1864,11,-459,6
2045,1761,12,-568,3
2046,2160,13,-562,1
